Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
carcarcar76,https://www.nitrotype.com/racer/carcarcar76,Enzo 700 session,Sp3llchekcer,85,0,70.84214518698325,2584,332131.7466428742,94.91429599362681,NHS
cool688,https://www.nitrotype.com/racer/cool688,NitroJoe,Operation: Typing,280,0,123.03645770665383,2155,331918.4412140636,95.3591923432206,T0WER
cerealbowl1,https://www.nitrotype.com/racer/cerealbowl1,random name,Nitro Pup,88,0,126.22913292301047,2091,329945.9082771248,96.73774687598375,PR2W
a710a80aed7ab73b0c3514ed6bff75e5,https://www.nitrotype.com/racer/a710a80aed7ab73b0c3514ed6bff75e5,T0kyo_Drift,Yo,367,40,128.85373537353735,1995,321085.73556173936,97.88256209113803,N8TE
alanchang321,https://www.nitrotype.com/racer/alanchang321,alanchang321,Big Spender,77,0,88.35261185178156,2374,317110.0717424106,92.64786747774684,LXW
givemegoldasap,https://www.nitrotype.com/racer/givemegoldasap,El1te Stxr,♪ Rockin’ Around the XMaxx Tree ♪,39,180,116.99132598524541,2152,316827.6050778065,92.88880261412532,NCT
fstmario,https://www.nitrotype.com/racer/fstmario,Mario,California Roll,209,220,137.41109105620214,1910,311602.96573426726,96.70275715377954,NTPD1
highambitions,https://www.nitrotype.com/racer/highambitions,",navy,",I Have Fans!,116,160,68.8648480705897,2500,310339.17267953936,92.34057182456539,RFTP
wild_capybara,https://www.nitrotype.com/racer/wild_capybara,Prime Nightmare_,Legendary Lapper,195,0,77.67231370690676,2236,310208.7463227648,99.92626525681654,4CU
big_melody,https://www.nitrotype.com/racer/big_melody,BigMelody,Operation: Typing,77,280,99.34325306678782,1996,295879.46496851835,99.0409527359373,NTPD1
rainbowspyro2022,https://www.nitrotype.com/racer/rainbowspyro2022,Rainbow,Sea Student,164,60,135.52612914870576,1824,294371.67400653363,96.19994697862786,PSR
santino999,https://www.nitrotype.com/racer/santino999,Dozzyy,Three Commas Club,68,0,89.25741502489717,2181,294367.43197233125,93.32104395071312,S0RC
enochbaisden5,https://www.nitrotype.com/racer/enochbaisden5,enochbaisden5,Legendary Lapper,51,320,54.89923159881369,2364,291560.6258559057,96.77047459437559,CZBZ
tateheoggggg,https://www.nitrotype.com/racer/tateheoggggg,-Tatertot-,The Diamond Racer,291,20,148.63774977372415,1667,290244.37699979334,99.88121134450397,BRAVE
d81e77cf8a7e3c1661cfae51a4460e0c,https://www.nitrotype.com/racer/d81e77cf8a7e3c1661cfae51a4460e0c,OfficerBunni7k,♪ So Delightful ♪,305,340,99.55855498213577,1993,285992.072781227,95.8064979185607,190IQ
geloxd,https://www.nitrotype.com/racer/geloxd,GeloXD,Trailblazer,106,0,111.6991349480969,1827,277164.4826132251,97.34046754984735,SSH
darcy2023,https://www.nitrotype.com/racer/darcy2023,ZeusPoseidonHades,Tilted Typist,292,140,91.84022889842632,2050,276847.9097225341,92.5491056185152,FAM3
jcapaan,https://www.nitrotype.com/racer/jcapaan,CapaSpeed - 16K,Spring-a-round,152,0,111.9055623600963,1814,276020.60414563335,97.56882956897451,CAM0
moilyn,https://www.nitrotype.com/racer/moilyn,✨꧁⚽WF⚽꧂✨,League Champion,372,340,73.95772100384355,2046,274939.98817781685,98.1021964752457,PR2W
maelstrom_racer,https://www.nitrotype.com/racer/maelstrom_racer,Maelstrom,League Champion,371,240,112.86356361404049,1774,258281.5541204413,93.07108640162244,SSH
fb806a1ca1f4ee5741e9971d4f316ca7,https://www.nitrotype.com/racer/fb806a1ca1f4ee5741e9971d4f316ca7,AllMight,Expert Extraordinaire,230,60,96.27129571145426,1790,256431.35976359338,96.70713630267524,SPRME
bfbe1283f9a79bf3db48b5f1ea71f007,https://www.nitrotype.com/racer/bfbe1283f9a79bf3db48b5f1ea71f007,nano811,Keyboard Cat,51,320,67.52590699438932,1993,254138.15689395677,95.32937106360329,BEEHVE
sanduok,https://www.nitrotype.com/racer/sanduok,ur favorite princess,Not a Bot,122,60,104.54156990246169,1669,245999.4407365923,96.79684376082957,S0RC
lil_kong,https://www.nitrotype.com/racer/lil_kong,w o o z i e,Keyboard Cat,80,320,118.29651529103862,1578,242648.11573512253,96.6202231060811,LOVGOD
koyomialt,https://www.nitrotype.com/racer/koyomialt,No One,♪ So Delightful ♪,87,0,85.65072960796181,1719,242296.21947853884,98.68824349617495,CAM0
